Origin City,Origin State,Origin Postal Code,Destination City,Destination State,Destination Postal Code
BETHANY,CT,,MESA,AZ,
BETHANY,CT,,CORONA,CA,
BETHANY,CT,,DANBURY,CT,
BETHANY,CT,,EAST HARTFORD,CT,
BETHANY,CT,,FAIRFIELD,CT,
BETHANY,CT,,HAMDEN,CT,
BETHANY,CT,,HARTFORD,CT,
BETHANY,CT,,MANSFIELD CENTER,CT,
BETHANY,CT,,MIDDLETOWN,CT,
BETHANY,CT,,NEW HAVEN,CT,
BETHANY,CT,,SIMSBURY,CT,
BETHANY,CT,,STAMFORD,CT,
BETHANY,CT,,WEST HARTFORD,CT,
BETHANY,CT,,WILMINGTON,DE,
BETHANY,CT,,ORLANDO,FL,
BETHANY,CT,,POMPANO BEACH,FL,
BETHANY,CT,,WEST PALM BEACH,FL,
BETHANY,CT,,JOHNSTON,IA,
BETHANY,CT,,LAKE BARRINGTON,IL,
BETHANY,CT,,INDIANAPOLIS,IN,
BETHANY,CT,,AVON,MA,
BETHANY,CT,,BOSTON,MA,
BETHANY,CT,,BURLINGTON,MA,
BETHANY,CT,,DEDHAM,MA,
BETHANY,CT,,DENNIS PORT,MA,
BETHANY,CT,,DORCHESTER,MA,
BETHANY,CT,,HANOVER,MA,
BETHANY,CT,,HARWICH,MA,
BETHANY,CT,,HYANNIS,MA,
BETHANY,CT,,LITTLETON,MA,
BETHANY,CT,,LOWELL,MA,
BETHANY,CT,,MANSFIELD,MA,
BETHANY,CT,,NORTH READING,MA,
BETHANY,CT,,PLAINVILLE,MA,
BETHANY,CT,,PLYMOUTH,MA,
BETHANY,CT,,RANDOLPH,MA,
BETHANY,CT,,RAYNHAM,MA,
BETHANY,CT,,SAUGUS,MA,
BETHANY,CT,,SHREWSBURY,MA,
BETHANY,CT,,SPRINGFIELD,MA,
BETHANY,CT,,STOUGHTON,MA,
BETHANY,CT,,TEWKSBURY,MA,
BETHANY,CT,,WALTHAM,MA,
BETHANY,CT,,WATERTOWN,MA,
BETHANY,CT,,WESTBOROUGH,MA,
BETHANY,CT,,WINCHESTER,MA,
BETHANY,CT,,WOBURN,MA,
BETHANY,CT,,ARNOLD,MD,
BETHANY,CT,,BEL AIR,MD,
BETHANY,CT,,BELTSVILLE,MD,
BETHANY,CT,,CAPITOL HEIGHTS,MD,
BETHANY,CT,,FREDERICK,MD,
BETHANY,CT,,PARKVILLE,MD,
BETHANY,CT,,PORTLAND,ME,
BETHANY,CT,,ARDEN,NC,
BETHANY,CT,,HAMLET,NC,
BETHANY,CT,,Hampton,NH,
BETHANY,CT,,HUDSON,NH,
BETHANY,CT,,MANCHESTER,NH,
BETHANY,CT,,NASHUA,NH,
BETHANY,CT,,PEMBROKE,NH,
BETHANY,CT,,PORTSMOUTH,NH,
BETHANY,CT,,DAYTON,NJ,
BETHANY,CT,,DELANCO,NJ,
BETHANY,CT,,ELIZABETH,NJ,
BETHANY,CT,,FAIRFIELD,NJ,
BETHANY,CT,,HACKENSACK,NJ,
BETHANY,CT,,JERSEY CITY,NJ,
BETHANY,CT,,KEYPORT,NJ,
BETHANY,CT,,LODI,NJ,
BETHANY,CT,,LYNDHURST,NJ,
BETHANY,CT,,MAHWAH,NJ,
BETHANY,CT,,MANALAPAN,NJ,
BETHANY,CT,,MANALAPAN TOWNSHIP,NJ,
BETHANY,CT,,MOORESTOWN,NJ,
BETHANY,CT,,NEWARK,NJ,
BETHANY,CT,,NORTH BERGEN,NJ,
BETHANY,CT,,PARAMUS,NJ,
BETHANY,CT,,PATERSON,NJ,
BETHANY,CT,,PLAINFIELD,NJ,
BETHANY,CT,,POMPTON PLAINS,NJ,
BETHANY,CT,,ROBBINSVILLE,NJ,
BETHANY,CT,,SOMERSET,NJ,
BETHANY,CT,,SOUTH PLAINFIELD,NJ,
BETHANY,CT,,TOMS RIVER,NJ,
BETHANY,CT,,TOTOWA,NJ,
BETHANY,CT,,UNION,NJ,
BETHANY,CT,,WAYNE,NJ,
BETHANY,CT,,ALBANY,NY,
BETHANY,CT,,ARMONK,NY,
BETHANY,CT,,ASTORIA,NY,
BETHANY,CT,,BOHEMIA,NY,
BETHANY,CT,,BROOKLYN,NY,
BETHANY,CT,,CALVERTON,NY,
BETHANY,CT,,CHEEKTOWAGA,NY,
BETHANY,CT,,COMMACK,NY,
BETHANY,CT,,EAST NORTHPORT,NY,
BETHANY,CT,,FARMINGDALE,NY,
BETHANY,CT,,GARDEN CITY,NY,
BETHANY,CT,,LIVERPOOL,NY,
BETHANY,CT,,LONG ISLAND CITY,NY,
BETHANY,CT,,MASPETH,NY,
BETHANY,CT,,MONROE,NY,
BETHANY,CT,,MONSEY,NY,
BETHANY,CT,,NEW YORK,NY,
BETHANY,CT,,OGDENSBURG,NY,
BETHANY,CT,,ORCHARD PARK,NY,
BETHANY,CT,,PHOENIX,NY,
BETHANY,CT,,PORT CHESTER,NY,
BETHANY,CT,,PORT WASHINGTON,NY,
BETHANY,CT,,ROCHESTER,NY,
BETHANY,CT,,RONKONKOMA,NY,
BETHANY,CT,,SAINT ALBANS,NY,
BETHANY,CT,,SARATOGA SPRINGS,NY,
BETHANY,CT,,SCHENECTADY,NY,
BETHANY,CT,,SUFFERN,NY,
BETHANY,CT,,SYRACUSE,NY,
BETHANY,CT,,WAPPINGERS FALLS,NY,
BETHANY,CT,,WEST HAVERSTRAW,NY,
BETHANY,CT,,YONKERS,NY,
BETHANY,CT,,LEBANON,OR,
BETHANY,CT,,ALLENTOWN,PA,
BETHANY,CT,,BENSALEM,PA,
BETHANY,CT,,BERWYN,PA,
BETHANY,CT,,DOYLESTOWN,PA,
BETHANY,CT,,HANOVER,PA,
BETHANY,CT,,HATFIELD,PA,
BETHANY,CT,,KING OF PRUSSIA,PA,
BETHANY,CT,,LANCASTER,PA,
BETHANY,CT,,LANGHORNE,PA,
BETHANY,CT,,LEVITTOWN,PA,
BETHANY,CT,,MECHANICSBURG,PA,
BETHANY,CT,,MONTGOMERYVILLE,PA,
BETHANY,CT,,OAKS,PA,
BETHANY,CT,,PHILADELPHIA,PA,
BETHANY,CT,,POTTSTOWN,PA,
BETHANY,CT,,WILKES BARRE,PA,
BETHANY,CT,,WARWICK,RI,
BETHANY,CT,,KNOXVILLE,TN,
BETHANY,CT,,MEMPHIS,TN,
BETHANY,CT,,GARLAND,TX,
BETHANY,CT,,GRAND PRAIRIE,TX,
BETHANY,CT,,HOUSTON,TX,
BETHANY,CT,,LITTLE ELM,TX,
BETHANY,CT,,LEESBURG,VA,
BETHANY,CT,,MANASSAS,VA,
BETHANY,CT,,MANASSAS PARK,VA,
BETHANY,CT,,RESTON,VA,
BETHANY,CT,,SPRINGFIELD,VA,
BETHANY,CT,,BENNINGTON,VT,
BETHANY,CT,,WILLISTON,VT,
BETHANY,CT,,RENTON,WA,
BETHANY,CT,,EDMONTON,AB,
BETHANY,CT,,PRINCE GEORGE,BC,
BETHANY,CT,,Dieppe,NB,
BETHANY,CT,,SCOUDOUC,NB,
BETHANY,CT,,HALIFAX,NS,
BETHANY,CT,,AURORA,ON,
BETHANY,CT,,BARRIE,ON,
BETHANY,CT,,CAMBRIDGE,ON,
BETHANY,CT,,CONCORD,ON,
BETHANY,CT,,HAMILTON,ON,
BETHANY,CT,,KINGSTON,ON,
BETHANY,CT,,KITCHNER,ON,
BETHANY,CT,,LONDON,ON,
BETHANY,CT,,MISSISSAUGA,ON,
BETHANY,CT,,NEPEAN,ON,
BETHANY,CT,,OTTAWA,ON,
BETHANY,CT,,SCARBOROUGH,ON,
BETHANY,CT,,ST CATHARINES,ON,
BETHANY,CT,,VAUGHAN,ON,
BETHANY,CT,,WELLAND,ON,
BETHANY,CT,,ANJOU,QC,
BETHANY,CT,,CHICOUTIMI,QC,
BETHANY,CT,,COTEAU DU LAC,QC,
BETHANY,CT,,HEMMINGFORD,QC,
BETHANY,CT,,LAVAL,QC,
BETHANY,CT,,QUEBEC,QC,
BETHANY,CT,,QUEBEC CITY,QC,
BETHANY,CT,,SAINT LEONARD,QC,
BETHANY,CT,,ST JEAN SUR RICHELIEU,QC,
BETHANY,CT,,VARENNES,QC,
CORONA,CA,,GLENDALE,AZ,
CORONA,CA,,MESA,AZ,
CORONA,CA,,PHOENIX,AZ,
CORONA,CA,,TEMPE,AZ,
CORONA,CA,,TOLLESON,AZ,
CORONA,CA,,TUCSON,AZ,
CORONA,CA,,ANAHEIM,CA,
CORONA,CA,,BAKERSFIELD,CA,
CORONA,CA,,CARSON,CA,
CORONA,CA,,DOWNEY,CA,
CORONA,CA,,El Cajon,CA,
CORONA,CA,,FOUNTAIN VALLEY,CA,
CORONA,CA,,FRESNO,CA,
CORONA,CA,,FULLERTON,CA,
CORONA,CA,,LA QUINTA,CA,
CORONA,CA,,MISSION VEIJO,CA,
CORONA,CA,,MISSION VIEJO,CA,
CORONA,CA,,MORENO VALLEY,CA,
CORONA,CA,,MURRIETA,CA,
CORONA,CA,,NORCO,CA,
CORONA,CA,,ORANGE,CA,
CORONA,CA,,OXNARD,CA,
CORONA,CA,,PALM DESERT,CA,
CORONA,CA,,RANCHO CUCAMONGA,CA,
CORONA,CA,,SAN DIEGO,CA,
CORONA,CA,,SAN GABRIEL,CA,
CORONA,CA,,SANTA ANA,CA,
CORONA,CA,,STOCKTON,CA,
CORONA,CA,,VAN NUYS,CA,
CORONA,CA,,WEST COVINA,CA,
CORONA,CA,,WOODLAND HILLS,CA,
CORONA,CA,,INDIANAPOLIS,IN,
CORONA,CA,,WOBURN,MA,
CORONA,CA,,ALBUQUERQUE,NM,
CORONA,CA,,HENDERSON,NV,
CORONA,CA,,LAS VEGAS,NV,
CORONA,CA,,RENO,NV,
CORONA,CA,,LEBANON,OR,
CORONA,CA,,SALT LAKE CITY,UT,
GRAND PRAIRIE,TX,,HUNTSVILLE,AL,
GRAND PRAIRIE,TX,,IRONDALE,AL,
GRAND PRAIRIE,TX,,MOBILE,AL,
GRAND PRAIRIE,TX,,MONTGOMERY,AL,
GRAND PRAIRIE,TX,,THEODORE,AL,
GRAND PRAIRIE,TX,,JONESBORO,AR,
GRAND PRAIRIE,TX,,LITTLE ROCK,AR,
GRAND PRAIRIE,TX,,NORTH LITTLE ROCK,AR,
